phase,sample,h,m,scenario,inner_us,applied,duplicates,pending,pending_before,pending_after
before,2,100000,1,pending-only,235483.99300000002,0,0,1,0,1
before,2,100000,1,conflicting-identity,194601.26,-,-,-,0,0
before,2,100000,10,complete,218444.407,10,0,0,0,0
before,2,100000,10,duplicate-only,222431.411,0,10,0,0,0
before,2,100000,10,pending-only,220405.842,0,0,10,0,10
before,2,100000,10,conflicting-identity,190188.373,-,-,-,0,0
before,2,100000,100,complete,214831.019,100,0,0,0,0
before,2,100000,100,duplicate-only,218797.47999999998,0,100,0,0,0
before,2,100000,100,pending-only,222060.92500000002,0,0,100,0,100
before,2,100000,100,conflicting-identity,187691.671,-,-,-,0,0
before,2,100000,1,dependency-drain,225147.47400000002,1,0,0,0,0
before,3,0,1,complete,137.543,1,0,0,0,0
before,3,0,1,duplicate-only,16.96,0,1,0,0,0
before,3,0,1,pending-only,25.515,0,0,1,0,1
before,3,0,1,conflicting-identity,0,-,-,-,0,0
before,3,0,10,complete,222.342,10,0,0,0,0
before,3,0,10,duplicate-only,48.436,0,10,0,0,0
before,3,0,10,pending-only,64.364,0,0,10,0,10
before,3,0,10,conflicting-identity,0,-,-,-,0,0
before,3,0,100,complete,1304.154,100,0,0,0,0
before,3,0,100,duplicate-only,533.372,0,100,0,0,0
before,3,0,100,pending-only,622.86,0,0,100,0,100
before,3,0,100,conflicting-identity,0,-,-,-,0,0
before,3,0,1,dependency-drain,26.768,1,0,0,0,0
before,3,1000,1,complete,1198.718,1,0,0,0,0
before,3,1000,1,duplicate-only,1158.4470000000001,0,1,0,0,0
before,3,1000,1,pending-only,1142.397,0,0,1,0,1
before,3,1000,1,conflicting-identity,1254.185,-,-,-,0,0
before,3,1000,10,complete,1339.9080000000001,10,0,0,0,0
before,3,1000,10,duplicate-only,1185.078,0,10,0,0,0
before,3,1000,10,pending-only,1204.922,0,0,10,0,10
before,3,1000,10,conflicting-identity,916.83,-,-,-,0,0
before,3,1000,100,complete,2590.079,100,0,0,0,0
before,3,1000,100,duplicate-only,1686.122,0,100,0,0,0
before,3,1000,100,pending-only,1889.276,0,0,100,0,100
before,3,1000,100,conflicting-identity,896.253,-,-,-,0,0
before,3,1000,1,dependency-drain,1106.049,1,0,0,0,0
before,3,10000,1,complete,15000.609,1,0,0,0,0
before,3,10000,1,duplicate-only,13257.188,0,1,0,0,0
before,3,10000,1,pending-only,14454.697,0,0,1,0,1
before,3,10000,1,conflicting-identity,10591.617,-,-,-,0,0
before,3,10000,10,complete,13908.604000000001,10,0,0,0,0
before,3,10000,10,duplicate-only,17011.978,0,10,0,0,0
before,3,10000,10,pending-only,17144.861,0,0,10,0,10
before,3,10000,10,conflicting-identity,15523.7,-,-,-,0,0
before,3,10000,100,complete,16600.928,100,0,0,0,0
before,3,10000,100,duplicate-only,15518.312,0,100,0,0,0
before,3,10000,100,pending-only,14992.252,0,0,100,0,100
before,3,10000,100,conflicting-identity,12592.812,-,-,-,0,0
before,3,10000,1,dependency-drain,13914.803,1,0,0,0,0
before,3,100000,1,complete,218386.06299999997,1,0,0,0,0
before,3,100000,1,duplicate-only,219121.615,0,1,0,0,0
before,3,100000,1,pending-only,217820.83800000002,0,0,1,0,1
before,3,100000,1,conflicting-identity,186006.011,-,-,-,0,0
before,3,100000,10,complete,217958.805,10,0,0,0,0
before,3,100000,10,duplicate-only,212266.93799999997,0,10,0,0,0
before,3,100000,10,pending-only,216039.28900000002,0,0,10,0,10
before,3,100000,10,conflicting-identity,178895.458,-,-,-,0,0
before,3,100000,100,complete,227766.043,100,0,0,0,0
before,3,100000,100,duplicate-only,243851.47399999993,0,100,0,0,0
before,3,100000,100,pending-only,265257.498,0,0,100,0,100
before,3,100000,100,conflicting-identity,270797.67799999996,-,-,-,0,0
before,3,100000,1,dependency-drain,295694.11,1,0,0,0,0
