phase,sample,h,m,scenario,inner_us,applied,duplicates,pending,pending_before,pending_after
after,2,100000,10,complete,165.70000000000002,10,0,0,0,0
after,2,100000,10,duplicate-only,1324.477,0,10,0,0,0
after,2,100000,10,pending-only,163.536,0,0,10,0,10
after,2,100000,10,conflicting-identity,1235.4470000000001,-,-,-,0,0
after,2,100000,100,complete,1154.137,100,0,0,0,0
after,2,100000,100,duplicate-only,1795.381,0,100,0,0,0
after,2,100000,100,pending-only,946.884,0,0,100,0,100
after,2,100000,100,conflicting-identity,1413.622,-,-,-,0,0
after,2,100000,1,dependency-drain,63.275,2,0,0,1,0
after,3,0,1,complete,63.084,1,0,0,0,0
after,3,0,1,duplicate-only,13.26,0,1,0,0,0
after,3,0,1,pending-only,22.387,0,0,1,0,1
after,3,0,1,conflicting-identity,0,-,-,-,0,0
after,3,0,10,complete,100.281,10,0,0,0,0
after,3,0,10,duplicate-only,47.921,0,10,0,0,0
after,3,0,10,pending-only,63.145,0,0,10,0,10
after,3,0,10,conflicting-identity,0,-,-,-,0,0
after,3,0,100,complete,820.915,100,0,0,0,0
after,3,0,100,duplicate-only,529.965,0,100,0,0,0
after,3,0,100,pending-only,703.803,0,0,100,0,100
after,3,0,100,conflicting-identity,0,-,-,-,0,0
after,3,0,1,dependency-drain,28.544,2,0,0,1,0
after,3,1000,1,complete,26.411,1,0,0,0,0
after,3,1000,1,duplicate-only,21.28,0,1,0,0,0
after,3,1000,1,pending-only,39.762,0,0,1,0,1
after,3,1000,1,conflicting-identity,19.78,-,-,-,0,0
after,3,1000,10,complete,110.352,10,0,0,0,0
after,3,1000,10,duplicate-only,66.243,0,10,0,0,0
after,3,1000,10,pending-only,139.448,0,0,10,0,10
after,3,1000,10,conflicting-identity,23.795,-,-,-,0,0
after,3,1000,100,complete,925.562,100,0,0,0,0
after,3,1000,100,duplicate-only,488.875,0,100,0,0,0
after,3,1000,100,pending-only,684.053,0,0,100,0,100
after,3,1000,100,conflicting-identity,16.601,-,-,-,0,0
after,3,1000,1,dependency-drain,27.819,2,0,0,1,0
after,3,10000,1,complete,51.091,1,0,0,0,0
after,3,10000,1,duplicate-only,177.983,0,1,0,0,0
after,3,10000,1,pending-only,41.935,0,0,1,0,1
after,3,10000,1,conflicting-identity,108.51,-,-,-,0,0
after,3,10000,10,complete,149.107,10,0,0,0,0
after,3,10000,10,duplicate-only,137.999,0,10,0,0,0
after,3,10000,10,pending-only,142.88400000000001,0,0,10,0,10
after,3,10000,10,conflicting-identity,128.743,-,-,-,0,0
after,3,10000,100,complete,993.511,100,0,0,0,0
after,3,10000,100,duplicate-only,601.062,0,100,0,0,0
after,3,10000,100,pending-only,669.745,0,0,100,0,100
after,3,10000,100,conflicting-identity,134.321,-,-,-,0,0
after,3,10000,1,dependency-drain,41.839,2,0,0,1,0
after,3,100000,1,complete,64.48,1,0,0,0,0
after,3,100000,1,duplicate-only,1205.0330000000001,0,1,0,0,0
after,3,100000,1,pending-only,67.84,0,0,1,0,1
after,3,100000,1,conflicting-identity,1297.742,-,-,-,0,0
after,3,100000,10,complete,171.072,10,0,0,0,0
after,3,100000,10,duplicate-only,1433.256,0,10,0,0,0
after,3,100000,10,pending-only,185.183,0,0,10,0,10
after,3,100000,10,conflicting-identity,1181.868,-,-,-,0,0
after,3,100000,100,complete,1218.48,100,0,0,0,0
after,3,100000,100,duplicate-only,1688.3020000000001,0,100,0,0,0
after,3,100000,100,pending-only,1088.6,0,0,100,0,100
after,3,100000,100,conflicting-identity,1098.499,-,-,-,0,0
after,3,100000,1,dependency-drain,63.219,2,0,0,1,0
